Planet Name,Host Name,Planet Letter,Default Parameter Set,Number of Stars,Number of Planets,Discovery Method,Discovery Year,Discovery Facility,Solution Type,Planetary Parameter Reference,Orbital Period [days],Planet Radius [Earth Radius],Planet Mass or Mass*sin(i) [Earth Mass],Planet Mass or Mass*sin(i) Provenance,Eccentricity,Equilibrium Temperature [K],Inclination [deg],Data show Transit Timing Variations,Stellar Parameter Reference,Spectral Type,Stellar Effective Temperature [K],Stellar Radius [Solar Radius],Stellar Mass [Solar mass],System Parameter Reference,RA [sexagesimal],RA [deg],Dec [sexagesimal],Dec [deg],Distance [pc],V (Johnson) Magnitude,Ks (2MASS) Magnitude,Gaia Magnitude,Date of Last Update,Planetary Parameter Reference Publication Date,Release Date
HIP 97166 b,HIP 97166,b,1,1,2,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,<a refstr=POLANSKI_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024ApJS..272...32P/abstract target=ref>Polanski et al. 2024</a>,10.28891400,2.480,19.10000,Mass,0.290000,702,,0,<a refstr=MACDOUGALL_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....166...33M/abstract target=ref>MacDougall et al. 2023</a>,,5216.00,0.84,0.93,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h44m58.71s,296.2446203,+74d03m46.29s,74.0628577,65.9501000,9.9200000,7.9230000,9.6844300,2024-07-23,2024-06,2024-07-23
HIP 97166 c,HIP 97166,c,1,1,2,Radial Velocity,2021,Multiple Observatories,Published Confirmed,<a refstr=POLANSKI_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024ApJS..272...32P/abstract target=ref>Polanski et al. 2024</a>,16.43200000,,8.00000,Msini,0.000000,,,0,<a refstr=MACDOUGALL_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....166...33M/abstract target=ref>MacDougall et al. 2023</a>,,5216.00,0.84,0.93,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h44m58.71s,296.2446203,+74d03m46.29s,74.0628577,65.9501000,9.9200000,7.9230000,9.6844300,2024-07-22,2024-06,2024-07-22
HIP 97233 b,HIP 97233,b,1,1,1,Radial Velocity,2014,Multiple Observatories,Published Confirmed,<a refstr=FENG_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022ApJS..262...21F/abstract target=ref>Feng et al. 2022</a>,1062.26506000,,6098.17365,Mass,0.630000,,86.083,0,<a refstr=FENG_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022ApJS..262...21F/abstract target=ref>Feng et al. 2022</a>,,,,1.81,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h45m41.31s,296.4221207,-00d41m48.77s,-0.6968794,102.2750000,7.3400000,5.0900000,7.0702500,2023-06-12,2022-09,2023-06-12
HIP 99770 b,HIP 99770,b,1,1,1,Imaging,2023,Multiple Observatories,Published Confirmed,<a refstr=CURRIE_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv221200034C/abstract target=ref>Currie et al. 2022</a>,18600.00000000,,5117.03735,Mass,0.250000,,148.000,0,<a refstr=CURRIE_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv221200034C/abstract target=ref>Currie et al. 2022</a>,A5-A6,8000.00,,1.85,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,20h14m32.12s,303.6338344,+36d48m23.78s,36.8066046,40.0765000,4.9429200,4.4220000,4.9147000,2023-04-17,2022-11,2023-04-17
HN Lib b,HN Lib,b,1,1,1,Radial Velocity,2023,Calar Alto Observatory,Published Confirmed,<a refstr=GONZ_AACUTE_LEZ__AACUTE_LVAREZ_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023A&A...675A.141G/abstract target=ref>Gonz&aacute;lez-&Aacute;lvarez et al. 2023</a>,36.11600000,,5.46000,Msini,0.079000,234,,0,<a refstr=GONZ_AACUTE_LEZ__AACUTE_LVAREZ_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023A&A...675A.141G/abstract target=ref>Gonz&aacute;lez-&Aacute;lvarez et al. 2023</a>,M4.0 V,3347.00,0.30,0.29,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,14h34m16.44s,218.5684823,-12d31m01.22s,-12.5170062,6.2444200,11.3110000,5.9390000,9.8788200,2023-08-07,2023-07,2023-08-07
HN Peg b,HN Peg,b,1,1,1,Imaging,2006,Spitzer Space Telescope,Published Confirmed,<a refstr=LUHMAN_ET_AL__2007 href=https://ui.adsabs.harvard.edu/abs/2007ApJ...654..570L/abstract target=ref> Luhman et al. 2007 </a>,,11.777,6991.57000,Mass,,,,0,<a refstr=LUHMAN_ET_AL__2007 href=https://ui.adsabs.harvard.edu/abs/2007ApJ...654..570L/abstract target=ref> Luhman et al. 2007 </a>,G0 V,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,21h44m31.58s,326.1315705,+14d46m17.23s,14.7714524,18.1186000,5.9770700,4.5590000,5.8236300,2014-05-14,2007-01,2014-05-14
HR 2562 b,HR 2562,b,1,1,1,Imaging,2016,Gemini Observatory,Published Confirmed,<a refstr=KONOPACKY_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...829L...4K/abstract target=ref>Konopacky et al. 2016</a>,,12.442,9534.90000,Mass,,1200,,0,<a refstr=KONOPACKY_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...829L...4K/abstract target=ref>Konopacky et al. 2016</a>,F5 V,,,1.30,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,06h50m01.03s,102.5042716,-60d14m55.24s,-60.2486775,34.0071000,6.1100000,5.0200000,5.9974100,2016-09-06,2016-09,2016-09-08
HR 5183 b,HR 5183,b,1,2,1,Radial Velocity,2019,Multiple Observatories,Published Confirmed,<a refstr=BLUNT_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..181B/abstract target=ref>Blunt et al. 2019</a>,27000.00000000,,1026.59090,Msini,0.840000,171,,0,<a refstr=BLUNT_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..181B/abstract target=ref>Blunt et al. 2019</a>,,5794.00,1.53,1.07,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,13h46m56.59s,206.7357992,+06d20m59.64s,6.3498994,31.4607000,6.3343200,4.8510000,6.1746400,2019-09-23,2019-11,2019-09-26
HR 810 b,HR 810,b,1,1,1,Radial Velocity,1999,La Silla Observatory,Published Confirmed,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,302.79999000,,721.47410,Msini,0.140000,,,0,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,,6167.00,1.13,1.34,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,02h42m34.01s,40.6417178,-50d47m57.65s,-50.7993484,17.3181000,5.4000000,4.1380000,5.2558700,2018-09-04,2017-03,2018-09-06
HR 858 b,HR 858,b,1,2,3,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,<a refstr=VANDERBURG_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJ...881L..19V/abstract target=ref>Vanderburg et al. 2019</a>,3.58599000,2.085,,,0.300000,1572,85.500,0,<a refstr=VANDERBURG_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJ...881L..19V/abstract target=ref>Vanderburg et al. 2019</a>,,6201.00,1.31,1.15,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,02h51m56.39s,42.9849779,-30d48m50.62s,-30.8140609,31.9640000,6.3800000,5.1490000,6.2527600,2019-07-19,2019-08,2019-07-25
HR 858 c,HR 858,c,1,2,3,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,<a refstr=VANDERBURG_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJ...881L..19V/abstract target=ref>Vanderburg et al. 2019</a>,5.97293000,1.939,,,0.190000,1326,86.230,0,<a refstr=VANDERBURG_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJ...881L..19V/abstract target=ref>Vanderburg et al. 2019</a>,,6201.00,1.31,1.15,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,02h51m56.39s,42.9849779,-30d48m50.62s,-30.8140609,31.9640000,6.3800000,5.1490000,6.2527600,2019-07-19,2019-08,2019-07-25
HR 858 d,HR 858,d,1,2,3,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,<a refstr=VANDERBURG_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJ...881L..19V/abstract target=ref>Vanderburg et al. 2019</a>,11.23000000,2.164,,,0.280000,1075,87.430,0,<a refstr=VANDERBURG_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJ...881L..19V/abstract target=ref>Vanderburg et al. 2019</a>,,6201.00,1.31,1.15,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,02h51m56.39s,42.9849779,-30d48m50.62s,-30.8140609,31.9640000,6.3800000,5.1490000,6.2527600,2019-07-19,2019-08,2019-07-25
HR 8799 b,HR 8799,b,1,1,4,Imaging,2008,Gemini Observatory,Published Confirmed,<a refstr=MAROIS_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008Sci...322.1348M/abstract target=ref> Marois et al. 2008 </a>,170000.00000000,13.000,2000.00000,Mass,,,,0,<a refstr=MAROIS_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008Sci...322.1348M/abstract target=ref> Marois et al. 2008 </a>,A5 V,,,1.50,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,23h07m28.84s,346.8701486,+21d08m02.54s,21.1340376,41.2441000,5.9800000,5.2400000,5.9091400,2014-05-14,2008-11,2014-05-14
HR 8799 c,HR 8799,c,1,1,4,Imaging,2008,Gemini Observatory,Published Confirmed,<a refstr=MAROIS_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008Sci...322.1348M/abstract target=ref> Marois et al. 2008 </a>,69000.00000000,13.000,3000.00000,Mass,,,,0,<a refstr=MAROIS_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008Sci...322.1348M/abstract target=ref> Marois et al. 2008 </a>,A5 V,,,1.50,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,23h07m28.84s,346.8701486,+21d08m02.54s,21.1340376,41.2441000,5.9800000,5.2400000,5.9091400,2014-05-14,2008-11,2014-05-14
HR 8799 d,HR 8799,d,1,1,4,Imaging,2008,W. M. Keck Observatory,Published Confirmed,<a refstr=MAROIS_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008Sci...322.1348M/abstract target=ref> Marois et al. 2008 </a>,37000.00000000,13.000,3000.00000,Mass,,,,0,<a refstr=MAROIS_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008Sci...322.1348M/abstract target=ref> Marois et al. 2008 </a>,A5 V,,,1.50,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,23h07m28.84s,346.8701486,+21d08m02.54s,21.1340376,41.2441000,5.9800000,5.2400000,5.9091400,2014-05-14,2008-11,2014-05-14
HR 8799 e,HR 8799,e,1,1,4,Imaging,2010,W. M. Keck Observatory,Published Confirmed,<a refstr=GRAVITY_COLLABORATION_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...623L..11G/abstract target=ref>Gravity Collaboration et al. 2019</a>,,13.115,3178.30000,Mass,0.150000,1150,25.000,0,<a refstr=GRAVITY_COLLABORATION_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...623L..11G/abstract target=ref>Gravity Collaboration et al. 2019</a>,A5,7400.00,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,23h07m28.84s,346.8701486,+21d08m02.54s,21.1340376,41.2441000,5.9800000,5.2400000,5.9091400,2019-06-24,2019-03,2019-06-27
HS Psc b,HS Psc,b,1,1,1,Radial Velocity,2024,McDonald Observatory,Published Confirmed,<a refstr=TRAN_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv240302378T/abstract target=ref>Tran et al. 2024</a>,3.98600000,,464.02947,Msini,0.270000,,,0,<a refstr=TRAN_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv240302378T/abstract target=ref>Tran et al. 2024</a>,K7 V,4203.00,0.65,0.69,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,01h37m23.37s,24.3473790,+26d57m10.09s,26.9528036,37.6604000,10.7690000,7.6420000,10.2865000,2024-03-12,2024-03,2024-03-12
HU Aqr AB b,HU Aqr,b,1,2,2,Eclipse Timing Variations,2011,Yunnan Astronomical Observatory,Published Confirmed,<a refstr=QIAN_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011MNRAS.414L..16Q/abstract target=ref> Qian et al. 2011 </a>,2390.00000000,,1875.19700,Msin(i)/sin(i),0.000000,,90.000,0,<a refstr=QIAN_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011MNRAS.414L..16Q/abstract target=ref> Qian et al. 2011 </a>,,,,0.88,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,21h07m58.13s,316.9921976,-05d17m41.53s,-5.2948694,,16.1830000,13.6340000,16.4718000,2019-10-18,2011-06,2019-10-24
HU Aqr AB c,HU Aqr,c,1,2,2,Eclipse Timing Variations,2011,Yunnan Astronomical Observatory,Published Confirmed,<a refstr=QIAN_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011MNRAS.414L..16Q/abstract target=ref> Qian et al. 2011 </a>,4368.00000000,,1430.23500,Msin(i)/sin(i),0.510000,,90.000,0,<a refstr=QIAN_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011MNRAS.414L..16Q/abstract target=ref> Qian et al. 2011 </a>,,,,0.88,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,21h07m58.13s,316.9921976,-05d17m41.53s,-5.2948694,,16.1830000,13.6340000,16.4718000,2019-10-18,2011-06,2019-10-24
IC 4651 9122 b,IC 4651 9122,b,1,1,1,Radial Velocity,2018,La Silla Observatory,Published Confirmed,<a refstr=LE_ATILDE_O_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...620A.139L/abstract target=ref>Le&atilde;o et al. 2018</a>,734.00000000,,2002.32900,Msini,0.180000,,,0,<a refstr=LE_ATILDE_O_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...620A.139L/abstract target=ref>Le&atilde;o et al. 2018</a>,,,,2.10,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,17h24m50.07s,261.2086139,-49d56m56.15s,-49.9489317,859.3240000,10.9090000,8.0540000,10.5336000,2018-07-18,2018-12,2018-07-19
